Test	m.test	5	[[Mario|m.03rlt]] married some famous women such as [[Michelle|m.03rlt]] and [[Claudia|m.03rlt]] .	Y
Test	m.test	5	[[Mario|m.03rlt]] married some famous women:[[Michelle|m.03rlt]] and [[Claudia|m.03rlt]] .	Y
Test	m.test	5	[[Mario|m.03rlt]] married some famous women including [[Michelle|m.03rlt]] and [[Claudia|m.03rlt]] .	Y
Test	m.test	5	[[Mario|m.03rlt]] married 2 famous women:[[Michelle|m.03rlt]] and [[Claudia|m.03rlt]] .	Y
Test	m.test	5	[[Mario|m.03rlt]] married 4 famous women: Michelle, [[Paola|m.03rlt]], [[Giuseppa|m.3829]] and Claudia .	Y
Test	m.test	5	[[Obama|m.03rlt]] is a supporter of [[Lakers|m.03rlt]] , [[Cavalliers|m.03rlt]] and [[Bulls|m.03rlt]] .	Y
Test	m.test	5	[[Obama|m.03rlt]] and [[Trump|m.12231]] are supporters of Lakers , [[Cavalliers|m.03rlt]] and Bulls .	Y
Test	m.test	5	[[Mario|m.03rlt]] married some famous women including Michelle and Claudia	N
Test	m.test	5	[[Mario|m.03rlt]], during his long life, worked for 3 companies: [[Apple|m.03rlt]], [[Microsoft|m.03rlt]] and [[Google|m.03rlt]]	Y
Test	m.test	5	[[Mario|m.03rlt]], during his long life, met [[Bill Gates|m.03rlt]], [[Steve Jobs|m.03rlt]] and [[Mark Zuckemberg|m.03rlt]]	Y
Test	m.test	5	[[Mario|m.03rlt]] married some famous women: Michelle and Claudia	N
Test	m.test	5	[[Obama|m.03rlt]] and [[Trump|m.03rlt]] are supporters of [[Lakers|m.03rlt]] , [[Bulls|m.03rlt]] and [[Cavalliers|m.03rlt]]	Y
Test	m.test	5	[[Paul McCartney|m.03rlt]] and [[John Lennon|m.03rlt]] played together in [[White Album Tour|m.03rlt]] and [[Stg. Pepper's tour|m.03rlt]]	Y
Test	m.test	5	[[Obama|m.03rlt]] and [[Trump|m.03rlt]] are supporters of Lakers , Bulls and Cavalliers	N
MSN	m.0198jf	5	Along with [[Windows_95|m.086n_]] 's release , [[Microsoft|m.04sv4]] debuted [[MSN|m.0198jf]] Dial-up , a subscription-based dial-up online service that it later turned into an [[Internet_service_provider|m.0pjxv]] named [[MSN|m.0198jf]] Dial-up .	N
